iter	RMSE
0	0.3982108457
1	0.3968538062
2	0.3955374309
3	0.3942055789
4	0.3929331601
5	0.3916330497
6	0.3903060164
7	0.3890143407
8	0.3877432231
9	0.3864177896
10	0.3851255456
11	0.383856189
12	0.3827303156
13	0.3814829483
14	0.3803481119
15	0.3790953202
16	0.3778790687
17	0.3766604077
18	0.3755568521
19	0.3743554782
20	0.3731872745
21	0.3720628727
22	0.3709259738
23	0.3697539862
24	0.3686132792
25	0.3674434366
26	0.3662692574
27	0.3650677543
28	0.3639870258
29	0.3629663556
30	0.3618503189
31	0.3607949966
32	0.359729066
33	0.3585991971
34	0.3575499784
35	0.3564751421
36	0.3553525166
37	0.3542690555
38	0.3531993249
39	0.3520624113
40	0.3511032986
41	0.3501827849
42	0.349168981
43	0.3481932543
44	0.3472202118
45	0.3462061035
46	0.3451576528
47	0.3441155166
48	0.3430918728
49	0.3421502412
50	0.3411404759
51	0.3401311555
52	0.3390818248
53	0.3381096747
54	0.3371580517
55	0.3361071899
56	0.335088336
57	0.3340773862
58	0.3330975016
59	0.332135814
60	0.3311521469
61	0.3301765498
62	0.3291898452
63	0.3281616006
64	0.327258867
65	0.3263482341
66	0.325416139
67	0.3244065826
68	0.3235062622
69	0.3225429512
70	0.3216084131
71	0.3206818914
72	0.3198529824
73	0.3189472465
74	0.3179916871
75	0.3170997325
76	0.3162218729
77	0.315371306
78	0.314509073
79	0.3135690379
80	0.3126854778
81	0.3118185804
82	0.3109304678
83	0.3100428712
84	0.3090869556
85	0.3083217861
86	0.3075119361
87	0.3066738165
88	0.3057851592
89	0.3050042208
90	0.3041410962
91	0.3032339447
92	0.3024456813
93	0.3016080956
94	0.3008511706
95	0.3000631696
96	0.299289749
97	0.2985121222
98	0.2976489617
99	0.296861732
100	0.2960312763
101	0.2952959145
102	0.29457635
103	0.2937633077
104	0.2930362865
105	0.292262382
106	0.291516381
107	0.2907581201
108	0.2900688478
109	0.289317269
110	0.2885479844
111	0.2878113588
112	0.2871003177
113	0.2863285803
114	0.28556514
115	0.2847990954
116	0.2840520334
117	0.2833311103
118	0.2826097931
119	0.2819288332
120	0.2811818481
121	0.2804641968
122	0.2797828139
123	0.2790242019
124	0.2783028988
125	0.2775830933
126	0.2769794004
127	0.2762722699
128	0.275608567
129	0.2749373359
130	0.2742453212
131	0.2735691225
132	0.2729114569
133	0.2722872364
134	0.2716008529
135	0.2708998286
136	0.2702666139
137	0.2695929217
138	0.2689034994
139	0.2682480926
140	0.2675786366
141	0.2668588186
142	0.2661900129
143	0.26552732
144	0.2648431137
145	0.2641964545
146	0.2635303443
147	0.2628746131
148	0.2622608757
149	0.2616338618
150	0.2609846967
151	0.260383089
152	0.2597607291
153	0.2591125127
154	0.2584786031
155	0.2578430115
156	0.2572379584
157	0.2565910396
158	0.2559305572
159	0.2553821459
160	0.2548122666
161	0.2542123728
162	0.2536445854
163	0.2530162209
164	0.2524154642
165	0.2518042539
166	0.2512485822
167	0.2506673255
168	0.2501031421
169	0.2495569296
170	0.248941951
171	0.2483603678
172	0.2478279147
173	0.2472114174
174	0.2466921874
175	0.2461845548
176	0.245643672
177	0.2451361439
178	0.2445939216
179	0.2440505246
180	0.2434253362
181	0.2429001838
182	0.2424111257
183	0.2419261791
184	0.2413378227
185	0.2408096135
186	0.2402305147
187	0.2396843446
188	0.2392084699
189	0.2386474827
190	0.2380780749
191	0.2375671321
192	0.237049864
193	0.2365582626
194	0.2360395906
195	0.2354989809
196	0.2350248918
197	0.2345115895
198	0.2339873059
199	0.2334821246
200	0.2330101413
201	0.2325264712
202	0.232032645
203	0.2315525832
204	0.2310947241
205	0.2306290853
206	0.2301225468
207	0.2296424105
208	0.229137114
209	0.2286519643
210	0.2281746821
211	0.2277162341
212	0.2272525958
213	0.2267495474
214	0.2262955882
215	0.2258534126
216	0.2254172876
217	0.2249561269
218	0.2244784341
219	0.2240254981
220	0.2235252571
221	0.2230111837
222	0.2225906339
223	0.2221529616
224	0.2216800568
225	0.2212001151
226	0.2207495669
227	0.2202659497
228	0.2198282147
229	0.2194001077
230	0.2189639063
231	0.2185152194
232	0.2180554861
233	0.2176563177
234	0.2172874439
235	0.2168288797
236	0.2163880492
237	0.2159295557
238	0.2155106776
239	0.2150677976
240	0.2146461331
241	0.2142283944
242	0.2138140831
243	0.2134237242
244	0.2130412144
245	0.2126385633
246	0.2122543278
247	0.211813592
248	0.2114537303
249	0.2110461852
250	0.210650005
251	0.2102683323
252	0.209879499
253	0.2094559451
254	0.2090534813
255	0.208678119
256	0.2082854262
257	0.2078884025
258	0.2074924585
259	0.2071127499
260	0.206742898
261	0.2064036518
262	0.2060628211
263	0.2056926318
264	0.2053284383
265	0.2049280272
266	0.2045253162
267	0.2041309653
268	0.2037230021
269	0.2033120617
270	0.2029243789
271	0.2025690426
272	0.2022339105
273	0.2018834104
274	0.2015355437
275	0.2012269652
276	0.2008307468
277	0.2005281138
278	0.2001616578
279	0.1998148148
280	0.1994801488
281	0.1991251941
282	0.1987831536
283	0.1984017595
284	0.1980372216
285	0.1977242471
286	0.1973752822
287	0.1970492769
288	0.1966969167
289	0.1963660579
290	0.1960341917
291	0.1956507455
292	0.1953161927
293	0.1949906789
294	0.1946821592
295	0.194342572
296	0.1940192837
297	0.1937010016
298	0.1933629294
299	0.1930402044
300	0.1927276004
301	0.1924147046
302	0.1920514714
303	0.1917594084
304	0.1914117792
305	0.1910971912
306	0.190764853
307	0.1904662735
308	0.190140308
309	0.1898313654
310	0.1895251602
311	0.1892011396
312	0.1889086801
313	0.1885935851
314	0.18830964
315	0.188031293
316	0.1877272387
317	0.187422678
318	0.1871126327
319	0.1868058647
320	0.1865211718
321	0.1862283751
322	0.1859672747
323	0.1856646411
324	0.1853792917
325	0.1851182499
326	0.1848279621
327	0.1845453214
328	0.1842359932
329	0.1839123184
330	0.1836533588
331	0.1833709794
332	0.1830918934
333	0.1827977578
334	0.1825619115
335	0.1822631968
336	0.1820048797
337	0.1817076422
338	0.181416959
339	0.1811556514
340	0.1809081902
341	0.1806218995
342	0.1803521086
343	0.1800596099
344	0.1797968709
345	0.1795003689
346	0.1792199568
347	0.178956818
348	0.1786928824
349	0.1784237226
350	0.1781737936
351	0.177891296
352	0.1776378523
353	0.1774134028
354	0.1771885656
355	0.1769413064
356	0.1767100588
357	0.176465236
358	0.176206323
359	0.1759665221
360	0.1757335297
361	0.1754952692
362	0.1752710518
363	0.1750644045
364	0.1748440688
365	0.1745789581
366	0.1743507901
367	0.1741232933
368	0.173889123
369	0.1736780166
370	0.1734523313
371	0.1732228631
372	0.1729914668
373	0.1727800823
374	0.1725689857
375	0.1723747282
376	0.1721672321
377	0.1719712637
378	0.1717433604
379	0.1715352196
380	0.1713286844
381	0.1711030239
382	0.1708636448
383	0.1706317485
384	0.170419991
385	0.1701893787
386	0.1699741429
387	0.1698122559
388	0.1696014215
389	0.1693867989
390	0.1691854659
391	0.169000312
392	0.1688057333
393	0.1686044782
394	0.1683814247
395	0.1682015019
396	0.1679845547
397	0.1677725324
398	0.1675728227
399	0.1673763203
400	0.167163426
401	0.1669497903
402	0.1667471577
403	0.1665396501
404	0.1663439783
405	0.1661420327
406	0.1659439144
407	0.165747408
408	0.165528153
409	0.1653328213
410	0.1651571609
411	0.1649524137
412	0.1647634487
413	0.1645608298
414	0.1643725363
415	0.1641869792
416	0.1639871814
417	0.1637802197
418	0.1636004265
419	0.1634322502
420	0.1632205026
421	0.1630362039
422	0.1628670559
423	0.1626687883
424	0.1624699801
425	0.1622843361
426	0.1620967586
427	0.1618928835
428	0.1617307529
429	0.1615442817
430	0.1613869804
431	0.1612175395
432	0.1610343274
433	0.16083576
434	0.1606798439
435	0.1604913448
436	0.1603519411
437	0.1601779124
438	0.1599882434
439	0.1598050572
440	0.1596477564
441	0.159479944
442	0.1593100569
443	0.1591210701
444	0.158954645
445	0.1587679259
446	0.158600549
447	0.1584174668
448	0.1582423143
449	0.1580732007
450	0.1579218494
451	0.1577471404
452	0.157590011
453	0.1574140943
454	0.1572242679
455	0.1570559439
456	0.1569033387
457	0.1567328069
458	0.1565954002
459	0.1564461281
460	0.1562876239
461	0.1561045483
462	0.1559576597
463	0.1558008646
464	0.1556063501
465	0.1554519335
466	0.155303215
467	0.1551525241
468	0.1550031267
469	0.1548661529
470	0.1547163972
471	0.1545556842
472	0.154396243
473	0.1542390244
474	0.1540849707
475	0.1539465143
476	0.1538034345
477	0.1536585476
478	0.1534941789
479	0.153347779
480	0.1532030061
481	0.1530624757
482	0.1529185
483	0.1527667564
484	0.1526154511
485	0.1524810556
486	0.1523323709
487	0.1521752703
488	0.1520172192
489	0.151863038
490	0.1517178577
491	0.1515776237
492	0.1514336704
493	0.151274903
494	0.1511348495
495	0.1509956673
496	0.1508578927
497	0.1507301136
498	0.1506111342
499	0.1504622559
500	0.1503373501
501	0.1501921048
502	0.1500609901
503	0.1499216857
504	0.149794805
505	0.1496582649
506	0.1495210069
507	0.1493794656
508	0.1492540208
509	0.1491463812
510	0.1490288765
511	0.1488911153
512	0.1487617027
513	0.1486262735
514	0.1484977005
515	0.148371669
516	0.1482433759
517	0.1481120068
518	0.1480211628
519	0.1478963474
520	0.1477675059
521	0.1476305258
522	0.1475118831
523	0.1473985462
524	0.1472621787
525	0.1471427302
526	0.1470211138
527	0.1469092646
528	0.1467828266
529	0.1466599102
530	0.1465289883
531	0.1463983206
532	0.1462618566
533	0.1461522239
534	0.1460424119
535	0.1459239763
536	0.1457899857
537	0.1456572788
538	0.1455583668
539	0.1454286732
540	0.145314541
541	0.1452071936
542	0.1451007402
543	0.1449852993
544	0.1448701411
545	0.1447479916
546	0.1446335839
547	0.14452109
548	0.1444066585
549	0.1442993441
550	0.1441878348
551	0.1440645505
552	0.1439554904
553	0.1438556994
554	0.1437264852
555	0.1435986639
556	0.1434923048
557	0.1433705707
558	0.1432800567
559	0.1431715145
560	0.1430654639
561	0.1429559987
562	0.1428337309
563	0.1427481501
564	0.1426437003
565	0.1425263048
566	0.1424126811
567	0.1422954633
568	0.1421864185
569	0.1420688829
570	0.1419800909
571	0.141885036
572	0.1417999277
573	0.1416981598
574	0.1415957526
575	0.1414882083
576	0.1413861494
577	0.1412783166
578	0.1411732426
579	0.1410852339
580	0.1410002647
581	0.1408893739
582	0.1407820513
583	0.1406732056
584	0.1405673371
585	0.1404608583
586	0.1403579848
587	0.1402304932
588	0.1401097549
589	0.140015164
590	0.1399240351
591	0.1398449319
592	0.1397503436
593	0.1396325591
594	0.1395200318
595	0.1394177076
596	0.1393295699
597	0.139234374
598	0.1391284045
599	0.1390301926
600	0.1389472324
601	0.1388519227
602	0.1387555386
603	0.1386626433
604	0.138572279
605	0.1384650956
606	0.138362339
607	0.13829149
608	0.1381984752
609	0.1380980773
610	0.138015203
611	0.1379211566
612	0.1378415917
613	0.1377612467
614	0.137683049
615	0.1375924774
616	0.1375079799
617	0.1374177613
618	0.137342775
619	0.1372440202
620	0.1371389281
621	0.1370576881
622	0.1369676617
623	0.1368832543
624	0.1367927098
625	0.1366963111
626	0.1366288509
627	0.1365474798
628	0.136456929
629	0.1363758399
630	0.1362939588
631	0.136182077
632	0.1360905079
633	0.1359917146
634	0.1359085988
635	0.1358219563
636	0.1357310602
637	0.1356468344
638	0.135561596
639	0.1354708166
640	0.1353748349
641	0.1352989843
642	0.1352164199
643	0.1351224544
644	0.1350342766
645	0.1349771739
646	0.1348947211
647	0.1348252229
648	0.1347545995
649	0.1346938746
650	0.1346110068
651	0.1345362761
652	0.1344434281
653	0.1343569244
654	0.1342854906
655	0.1342249632
656	0.134163908
657	0.1340814044
658	0.1339976601
659	0.1339172825
660	0.1338424984
661	0.1337668062
662	0.133681024
663	0.1335965139
664	0.1335147527
665	0.1334254206
666	0.1333382446
667	0.1332554152
668	0.1331916646
669	0.1331165408
670	0.1330233563
671	0.1329389387
672	0.1328631149
673	0.132781167
674	0.1327134327
675	0.1326301431
676	0.1325588742
677	0.1324805483
678	0.132401189
679	0.1323396014
680	0.1322602023
681	0.1321601903
682	0.1320780054
683	0.1320037598
684	0.1319288764
685	0.1318590892
686	0.1317814251
687	0.1317094121
688	0.1316526658
689	0.1315821256
690	0.1314960141
691	0.1314274305
692	0.1313689212
693	0.1312950114
694	0.1312208345
695	0.1311315455
696	0.1310675306
697	0.1309904896
698	0.1309397142
699	0.1308888889
700	0.130816743
701	0.1307598547
702	0.1306819877
703	0.130622531
704	0.1305616949
705	0.1304806956
706	0.1304123411
707	0.1303424606
708	0.1302609005
709	0.1301939959
710	0.1301303438
711	0.1300558163
712	0.129979667
713	0.1299286139
714	0.1298688619
715	0.129799775
716	0.1297187481
717	0.1296540774
718	0.1295863296
719	0.1295123062
720	0.1294472335
721	0.1293743591
722	0.1293131014
723	0.1292536086
724	0.1291970017
725	0.129125022
726	0.1290572936
727	0.1289858585
728	0.1289037029
729	0.1288400562
730	0.1287732523
731	0.1287122219
732	0.1286510979
733	0.1285863459
734	0.1285242918
735	0.1284722768
736	0.128409321
737	0.1283357834
738	0.1282746751
739	0.1282137722
740	0.1281477056
741	0.1280689924
742	0.1280124819
743	0.1279449802
744	0.1278830884
