iter	Passed	Remaining
0	2	12660
1	3	11306
2	5	11377
3	7	10950
4	8	10742
5	10	10639
6	12	10665
7	14	10560
8	15	10584
9	17	10672
10	19	10548
11	20	10471
12	22	10448
13	24	10428
14	26	10450
15	27	10404
16	30	10636
17	32	10749
18	34	10742
19	36	10777
20	38	10856
21	40	10948
22	42	11015
23	44	11147
24	47	11233
25	49	11259
26	50	11263
27	52	11294
28	54	11313
29	56	11334
30	58	11352
31	61	11445
32	63	11489
33	65	11482
34	67	11521
35	69	11527
36	71	11545
37	73	11554
38	76	11634
39	78	11648
40	80	11710
41	82	11718
42	84	11719
43	86	11732
44	88	11753
45	91	11817
46	93	11856
47	95	11870
48	97	11879
49	99	11895
50	101	11891
51	104	11900
52	106	11921
53	108	11932
54	110	11925
55	112	11922
56	114	11920
57	116	11917
58	118	11930
59	120	11924
60	122	11961
61	125	11988
62	127	12008
63	129	12034
64	131	12037
65	133	12031
66	135	12039
67	138	12072
68	140	12064
69	142	12054
70	144	12061
71	146	12046
72	148	12045
73	150	12033
74	152	12043
75	154	12037
76	156	12046
77	158	12040
78	160	12036
79	162	12039
80	164	12029
81	166	12030
82	168	12037
83	170	12028
84	172	12019
85	174	12012
86	176	12010
87	179	12029
88	181	12035
89	183	12042
90	185	12053
91	187	12042
92	189	12061
93	191	12056
94	193	12055
95	195	12048
96	198	12056
97	200	12059
98	202	12054
99	204	12052
100	206	12044
101	208	12043
102	210	12028
103	212	12023
104	214	12026
105	216	12026
106	218	12023
107	220	12026
108	222	12018
109	224	12020
110	226	12013
111	228	12010
112	230	12012
113	232	12002
114	234	12004
115	236	12000
116	238	11995
117	240	11997
118	242	11993
119	244	12001
120	246	11992
121	248	11986
122	250	11987
123	253	11993
124	255	11986
125	257	11986
126	259	11991
127	261	11985
128	263	11979
129	265	11991
130	267	11989
131	269	11986
132	271	11984
133	273	11982
134	276	12000
135	278	12005
136	280	12001
137	282	11996
138	284	11996
139	286	11995
140	288	11995
141	291	12009
142	293	12011
143	295	12003
144	297	12003
145	299	11998
146	301	11999
147	303	12004
148	306	12021
149	309	12059
150	311	12068
151	313	12068
152	315	12060
153	317	12057
154	319	12065
155	322	12084
156	324	12086
157	326	12088
158	328	12085
159	331	12084
160	333	12085
161	335	12085
162	338	12105
163	339	12098
164	342	12096
165	344	12095
166	346	12091
167	348	12086
168	350	12079
169	353	12110
170	355	12115
171	357	12119
172	359	12115
173	361	12114
174	363	12112
175	365	12109
176	367	12096
177	369	12084
178	371	12067
179	372	12047
180	374	12027
181	375	12007
182	377	11991
183	378	11971
184	380	11953
185	382	11947
186	383	11930
187	385	11916
